IsoCode;ContinentId;Country;Population;Area
TTO;4;Trinidad and Tobago;1399491;5128
TUN;3;Tunisia;11818618;163610
TUR;2;Turkey;84339067;780580
TKM;2;Turkmenistan;5042920;488100
TCA;4;Turks and Caicos Islands;38718;430
UGA;3;Uganda;45741000;236040
UKR;1;Ukraine;43733759;603700
ARE;2;United Arab Emirates;9890400;82880
GBR;1;United Kingdom;67886004;244820
USA;4;United States;331002647;9631420
VIR;4;United States Virgin Islands;104423;347
URY;5;Uruguay;3473727;176220
UZB;2;Uzbekistan;33469199;447400
VUT;6;Vanuatu;208869;12200
VAT;1;Vatican;809;0.49
VEN;5;Venezuela;28435943;912050
VNM;2;Vietnam;97338583;329560
ESH;3;Western Sahara;597330;266000
YEM;2;Yemen;29825968;527970
ZMB;3;Zambia;18383956;752614
ZWE;3;Zimbabwe;14862927;390580
