IsoCode;TypeOfFoodID;TypeOfNutritionalFactId;SupplyQuantity
EST;2;1;15.3336
SWZ;2;1;5.5925
ETH;2;1;2.0182
FJI;2;1;8.4795
FIN;2;1;19.2239
FRA;2;1;16.9899
PYF;2;1;15.0676
GAB;2;1;7.1874
GMB;2;1;3.7394
GEO;2;1;8.8138
DEU;2;1;15.3684
GHA;2;1;2.1263
GRC;2;1;11.4771
GRD;2;1;12.2581
GTM;2;1;5.5534
GIN;2;1;2.415
GNB;2;1;3.8624
GUY;2;1;9.0121
HTI;2;1;3.7884
HND;2;1;6.7385
HUN;2;1;16.0682
ISL;2;1;22.2911
IND;2;1;5.5622
IDN;2;1;3.372
IRN;2;1;5.8494
IRQ;2;1;4.1476
IRL;2;1;14.0167
ISR;2;1;11.5653
ITA;2;1;12.5657
JAM;2;1;9.4685
JPN;2;1;10.1594
JOR;2;1;6.0796
KAZ;2;1;14.1114
KEN;2;1;5.9101
KIR;2;1;5.9555
PRK;2;1;3.1273
KOR;2;1;9.3351
KWT;2;1;9.1727
KGZ;2;1;10.992
LAO;2;1;4.7916
LVA;2;1;15.4174
LBN;2;1;5.4012
LSO;2;1;3.7037
LBR;2;1;2.7908
LTU;2;1;15.4409
LUX;2;1;17.4063
MDG;2;1;3.5208
MWI;2;1;4.0038
MYS;2;1;8.7831
MDV;2;1;12.1226
MLI;2;1;5.7446
MLT;2;1;14.2031
MRT;2;1;7.3716
MUS;2;1;7.3381
MEX;2;1;10.2729
MNG;2;1;20.3754
MNE;2;1;17.6268
MAR;2;1;4.8669
MOZ;2;1;2.9074
MMR;2;1;10.8663
NAM;2;1;6.5173
NPL;2;1;3.767
NLD;2;1;16.5307
NCL;2;1;13.343
NZL;2;1;15.1117
NIC;2;1;6.3344
NER;2;1;3.4122
NGA;2;1;1.6237
MKD;2;1;9.4365
NOR;2;1;15.5904
OMN;2;1;10.0478
PAK;2;1;11.474
PAN;2;1;10.7042
PRY;2;1;9.3813
PER;2;1;5.7963
PHL;2;1;7.7225
POL;2;1;14.6079
PRT;2;1;15.4111
MDA;2;1;12.299
ROU;2;1;13.1527
RUS;2;1;12.7641
RWA;2;1;2.3707
KNA;2;1;14.2715
LCA;2;1;14.6429
VCT;2;1;10.2196
WSM;2;1;13.4454
STP;2;1;3.6409
SAU;2;1;7.59
SEN;2;1;2.7565
SRB;2;1;13.1419
SLE;2;1;2.6128
SVK;2;1;16.5403
SVN;2;1;13.6108
SLB;2;1;4.1693
ZAF;2;1;7.614
ESP;2;1;13.1824
LKA;2;1;3.7696
SDN;2;1;7.9737
SUR;2;1;6.2001
SWE;2;1;16.4907
CHE;2;1;15.5435
TWN;2;1;10.9525
TJK;2;1;5.1831
THA;2;1;6.4025
TLS;2;1;5.0491
TGO;2;1;2.0379
TTO;2;1;9.9918
TUN;2;1;5.7984
TUR;2;1;7.5989
TKM;2;1;13.1267
UGA;2;1;3.8462
UKR;2;1;9.8831
ARE;2;1;8.8519
GBR;2;1;14.2211
TZA;2;1;2.7337
USA;2;1;13.6201
URY;2;1;12.1808
UZB;2;1;10.7893
VUT;2;1;7.4519
VEN;2;1;7.2303
VNM;2;1;10.9806
YEM;2;1;3.4667
ZMB;2;1;3.3043
ZWE;2;1;3.9356
AFG;3;1;0.8504
ALB;3;1;1.0591
DZA;3;1;0.1941
AGO;3;1;0.2644
ATG;3;1;1.5429
ARG;3;1;1.065
ARM;3;1;1.7706
AUS;3;1;1.9027
AUT;3;1;5.2532
AZE;3;1;1.305
BHS;3;1;1.4205
BGD;3;1;0.1541
BRB;3;1;1.157
BLR;3;1;2.6748
BEL;3;1;4.7771
BLZ;3;1;2.6135
BEN;3;1;0.0907
BOL;3;1;0.9133
BIH;3;1;0.5507
BWA;3;1;1.047
BRA;3;1;1.5238
BGR;3;1;2.458
BFA;3;1;0.1287
CPV;3;1;1.0537
KHM;3;1;0.1011
CMR;3;1;0.1507
CAN;3;1;3.9656
CAF;3;1;0.7393
TCD;3;1;0.7659
CHL;3;1;1.3783
CHN;3;1;1.1773
COL;3;1;0.4363
COG;3;1;0.065
CRI;3;1;1.9741
CIV;3;1;0.0549
HRV;3;1;2.4809
CUB;3;1;0.6159
CYP;3;1;0.7075
CZE;3;1;3.8156
DNK;3;1;5.0547
DJI;3;1;0.2799
DMA;3;1;0.9341
DOM;3;1;0.7508
ECU;3;1;1.4879
EGY;3;1;0.5269
SLV;3;1;1.3717
EST;3;1;1.9572
SWZ;3;1;0.5198
ETH;3;1;0.1519
FJI;3;1;2.2476
FIN;3;1;2.4273
FRA;3;1;3.6818
PYF;3;1;1.8129
GAB;3;1;0.1513
GMB;3;1;0.0787
GEO;3;1;1.6025
DEU;3;1;4.162
GHA;3;1;0.0989
GRC;3;1;0.7006
GRD;3;1;0.7284
GTM;3;1;0.3925
GIN;3;1;0.161
GNB;3;1;0.1554
GUY;3;1;0.208
HTI;3;1;0.3234
HND;3;1;0.6464
HUN;3;1;5.28
ISL;3;1;2.9915
IND;3;1;1.4899
IDN;3;1;0.121
IRN;3;1;1.3782
IRQ;3;1;0.9372
IRL;3;1;2.9997
ISR;3;1;0.5127
ITA;3;1;2.1014
JAM;3;1;1.5781
JPN;3;1;0.5562
JOR;3;1;0.5527
KAZ;3;1;1.1264
KEN;3;1;0.3532
KIR;3;1;0.2291
PRK;3;1;0
KOR;3;1;1.2318
KWT;3;1;0.5806
KGZ;3;1;0.7507
LAO;3;1;0.6072
LVA;3;1;3.8504
LBN;3;1;0.6078
LSO;3;1;0.0877
LBR;3;1;0.0938
LTU;3;1;2.6612
LUX;3;1;2.3988
MDG;3;1;0.1839
MWI;3;1;0.4344
MYS;3;1;0.4297
MDV;3;1;0.9325
MLI;3;1;0.2223
MLT;3;1;2.0373
MRT;3;1;0.4046
MUS;3;1;0.4157
MEX;3;1;0.9046
MNG;3;1;2.0038
MNE;3;1;1.3935
MAR;3;1;0.6361
MOZ;3;1;0.1736
MMR;3;1;0.8145
NAM;3;1;0.7607
NPL;3;1;0.6278
NLD;3;1;2.3549
NCL;3;1;1.4361
NZL;3;1;4.562
NIC;3;1;0.5136
NER;3;1;0.4847
NGA;3;1;0.1421
MKD;3;1;2.1841
NOR;3;1;2.5713
OMN;3;1;0.5629
PAK;3;1;2.514
PAN;3;1;2.3063
PRY;3;1;1.1863
PER;3;1;0.1806
PHL;3;1;1.3837
POL;3;1;4.1413
PRT;3;1;3.6379
MDA;3;1;1.7958
ROU;3;1;2.1708
RUS;3;1;2.1273
RWA;3;1;0.1129
KNA;3;1;1.6498
LCA;3;1;1.0526
VCT;3;1;0.2703
WSM;3;1;2
STP;3;1;0.1862
SAU;3;1;0.7825
SEN;3;1;0.1914
SRB;3;1;1.1056
SLE;3;1;0.0408
SVK;3;1;7.8007
SVN;3;1;3.5357
SLB;3;1;0.6638
ZAF;3;1;0.2171
ESP;3;1;1.0093
LKA;3;1;0.0574
SDN;3;1;0.4316
SUR;3;1;0.2042
SWE;3;1;3.7422
CHE;3;1;2.4172
TWN;3;1;1.0415
TJK;3;1;0
THA;3;1;0.336
TLS;3;1;0.3974
TGO;3;1;0.1029
TTO;3;1;1.3969
TUN;3;1;0.6779
TUR;3;1;0.9322
TKM;3;1;1.7409
