IsoCode;AgeFactorId;AgeIndex
LBN;4;5.43
LSO;4;2.647
LBR;4;1.756
LBY;4;2.816
LTU;4;13.778
LUX;4;9.842
MKD;4;8.16
MDG;4;1.686
MWI;4;1.783
MYS;4;3.407
MDV;4;2.875
MLI;4;1.486
MLT;4;11.324
MRT;4;1.792
MUS;4;5.884
MEX;4;4.321
MDA;4;6.955
MNG;4;2.421
MNE;4;9.395
MAR;4;4.209
MOZ;4;1.87
MMR;4;3.12
NAM;4;2.085
NPL;4;3.212
NLD;4;11.881
NCL;4;6.489
NZL;4;9.72
NIC;4;3.519
NER;4;1.378
NGA;4;1.447
NOR;4;10.813
OMN;4;1.53
PAK;4;2.78
PSE;4;1.726
PAN;4;5.03
PNG;4;2.142
PRY;4;3.833
PER;4;4.455
PHL;4;2.661
POL;4;10.202
PRT;4;14.924
PRI;4;9.829
QAT;4;0.617
ROU;4;11.69
RUS;4;9.393
RWA;4;1.642
LCA;4;6.405
VCT;4;4.832
STP;4;2.162
SAU;4;1.845
SEN;4;1.796
SYC;4;5.586
SLE;4;1.285
SGP;4;7.049
SVK;4;9.167
SVN;4;12.93
SOM;4;1.496
ZAF;4;3.053
KOR;4;8.622
SSD;4;2.032
ESP;4;13.799
LKA;4;5.331
SDN;4;2.034
SUR;4;4.229
SWZ;4;1.845
SWE;4;13.433
CHE;4;12.644
SYR;4;2.577
TWN;4;8.353
TJK;4;2.155
TZA;4;1.874
THA;4;6.89
TLS;4;1.897
TGO;4;1.525
TTO;4;5.819
TUN;4;5.075
TUR;4;5.061
UGA;4;1.308
UKR;4;11.133
ARE;4;0.526
GBR;4;12.527
USA;4;9.732
VIR;4;10.799
URY;4;10.361
UZB;4;2.873
VEN;4;3.915
VNM;4;4.718
ESH;4;1.38
YEM;4;1.583
ZMB;4;1.542
ZWE;4;1.882
AFG;3;2.581
ALB;3;13.188
DZA;3;6.211
AGO;3;2.405
ATG;3;6.933
ARG;3;11.198
ARM;3;11.232
ABW;3;13.085
AUS;3;15.504
AUT;3;19.202
AZE;3;6.018
BHS;3;8.996
BHR;3;2.372
BGD;3;5.098
BRB;3;14.952
BLR;3;14.799
BEL;3;18.571
BLZ;3;3.853
BEN;3;3.244
BTN;3;4.885
BOL;3;6.704
BIH;3;16.569
BWA;3;3.941
BRA;3;8.552
BRN;3;4.591
BGR;3;20.801
BFA;3;2.409
BDI;3;2.562
KHM;3;4.412
CMR;3;3.165
CAN;3;16.984
CPV;3;4.46
CAF;3;3.655
TCD;3;2.486
CHL;3;11.087
CHN;3;10.641
COL;3;7.646
COM;3;2.963
COG;3;3.402
CRI;3;9.468
CIV;3;2.933
HRV;3;19.724
CUB;3;14.738
CUW;3;16.367
CYP;3;13.416
CZE;3;19.027
COD;3;3.02
DNK;3;19.677
DOM;3;6.981
ECU;3;7.104
EGY;3;5.159
SLV;3;8.273
GNQ;3;2.846
ERI;3;3.607
EST;3;19.452
ETH;3;3.526
FJI;3;6.224
FIN;3;21.228
FRA;3;19.718
PYF;3;7.775
GAB;3;4.45
GMB;3;2.339
GEO;3;14.864
DEU;3;21.453
GHA;3;3.385
GRC;3;20.396
GRD;3;7.304
GUM;3;9.551
GTM;3;4.694
GIN;3;3.135
GNB;3;3.002
GUY;3;5.305
HTI;3;4.8
HND;3;4.652
HKG;3;16.303
HUN;3;18.577
ISL;3;14.431
IND;3;5.989
IDN;3;5.319
IRN;3;5.44
IRQ;3;3.186
IRL;3;13.928
ISR;3;11.733
ITA;3;23.021
JAM;3;9.684
JPN;3;27.049
JOR;3;3.81
KAZ;3;6.991
KEN;3;2.686
KWT;3;2.345
KGZ;3;4.489
LAO;3;4.029
LVA;3;19.754
LBN;3;8.514
LSO;3;4.506
LBR;3;3.057
LBY;3;4.424
LTU;3;19.002
LUX;3;14.312
MKD;3;13.26
MDG;3;2.929
MWI;3;2.979
MYS;3;6.293
MDV;3;4.12
MLI;3;2.519
MLT;3;19.426
MRT;3;3.138
MUS;3;10.945
MEX;3;6.857
MDA;3;10.864
MNG;3;4.031
MNE;3;14.762
MAR;3;6.769
MOZ;3;3.158
MMR;3;5.732
NAM;3;3.552
NPL;3;5.809
NLD;3;18.779
NCL;3;9.954
NZL;3;15.322
NIC;3;5.445
NER;3;2.553
NGA;3;2.751
NOR;3;16.821
OMN;3;2.355
PAK;3;4.495
PSE;3;3.043
PAN;3;7.918
PNG;3;3.808
PRY;3;6.378
PER;3;7.151
PHL;3;4.803
