IsoCode;HealthCareFactorId;HealthcareFactorIndex
LBN;2;12.71
LSO;2;3.94
LBR;2;2.42
LBY;2;10.43
LIE;2;7.77
LTU;2;3.67
LUX;2;4.42
MKD;2;10.08
MDG;2;3.94
MWI;2;3.94
MYS;2;16.74
MDV;2;9.19
MLI;2;2.42
MLT;2;8.83
MRT;2;2.42
MUS;2;22.02
MEX;2;13.06
MDA;2;5.72
MCO;2;5.46
MNG;2;4.82
MNE;2;10.08
MAR;2;7.14
MOZ;2;3.3
MMR;2;4.61
NAM;2;3.94
NPL;2;7.26
NLD;2;5.29
NCL;2;23.36
NZL;2;8.08
NIC;2;11.47
NER;2;2.42
NGA;2;2.42
NOR;2;5.31
OMN;2;12.61
PAK;2;8.35
PSE;2;10.59
PAN;2;8.33
PNG;2;17.65
PRY;2;8.27
PER;2;5.95
PHL;2;7.07
POL;2;5.91
PRT;2;9.85
PRI;2;12.9
QAT;2;16.52
ROU;2;9.74
RUS;2;6.18
RWA;2;4.28
KNA;2;12.84
LCA;2;11.62
VCT;2;11.62
SMR;2;5.64
STP;2;2.42
SAU;2;17.72
SEN;2;2.42
SRB;2;10.08
SYC;2;10.55
SLE;2;2.42
SGP;2;10.99
SVK;2;7.29
SVN;2;7.25
SOM;2;6.05
ZAF;2;5.52
KOR;2;6.8
SSD;2;10.43
ESP;2;7.17
LKA;2;10.68
SDN;2;15.67
SUR;2;12.54
SWZ;2;3.94
SWE;2;4.79
CHE;2;5.59
TJK;2;7.11
TZA;2;5.75
THA;2;7.04
TLS;2;6.86
TGO;2;6.15
TTO;2;10.97
TUN;2;8.52
TUR;2;12.13
UGA;2;2.5
UKR;2;7.11
ARE;2;17.26
GBR;2;4.28
USA;2;10.79
VIR;2;12.26
URY;2;6.93
UZB;2;7.57
VEN;2;6.47
VNM;2;6.0
YEM;2;5.35
ZMB;2;3.94
ZWE;2;1.82
ALB;3;7.1
DZA;3;0.7
AND;3;29.0
ARG;3;16.2
ARM;3;1.5
AUS;3;13.0
AUT;3;28.4
AZE;3;0.3
BHS;3;3.1
BHR;3;5.8
BGD;3;1.0
BRB;3;1.9
BLR;3;10.5
BEL;3;25.1
BEN;3;0.6
BIH;3;30.2
BWA;3;5.7
BRA;3;10.1
BRN;3;2.0
BGR;3;30.1
BFA;3;1.6
KHM;3;2.0
CAN;3;12.0
CPV;3;2.1
CHL;3;34.2
CHN;3;1.9
COL;3;4.7
COM;3;4.4
COG;3;1.7
CRI;3;6.4
HRV;3;34.3
CUB;3;17.1
CYP;3;19.6
CZE;3;30.5
DNK;3;19.3
DOM;3;8.5
ECU;3;2.0
EGY;3;0.2
SLV;3;2.5
ERI;3;0.2
EST;3;24.5
ETH;3;0.4
FJI;3;10.2
FIN;3;18.3
FRA;3;30.1
GMB;3;0.7
GEO;3;5.3
DEU;3;28.2
GHA;3;0.3
GRC;3;35.3
HTI;3;2.9
HND;3;2.0
HUN;3;26.8
ISL;3;14.3
IND;3;1.9
IDN;3;2.8
IRN;3;0.8
IRL;3;23.0
ISR;3;15.4
ITA;3;19.8
JAM;3;5.3
JPN;3;11.2
KAZ;3;7.0
KEN;3;1.2
KWT;3;2.7
KGZ;3;3.6
LAO;3;7.3
LVA;3;25.6
LBN;3;26.9
LSO;3;0.4
LBR;3;1.5
LTU;3;21.3
LUX;3;20.9
MWI;3;4.4
MYS;3;1.0
MDV;3;2.1
MLI;3;1.6
MLT;3;20.9
MUS;3;3.2
MEX;3;6.9
MDA;3;5.9
MNG;3;5.5
MNE;3;44.0
MAR;3;0.8
MOZ;3;5.1
MMR;3;6.3
NAM;3;9.7
NPL;3;9.5
NLD;3;24.4
NZL;3;14.8
NER;3;0.1
NGA;3;0.6
NOR;3;19.6
OMN;3;0.5
PAK;3;2.8
PAN;3;2.4
PNG;3;23.5
PRY;3;5.0
PER;3;4.8
PHL;3;7.8
POL;3;23.3
PRT;3;16.3
QAT;3;0.8
ROU;3;22.9
RUS;3;23.4
RWA;3;4.7
SAU;3;1.8
SEN;3;0.4
SRB;3;37.7
SYC;3;7.1
SLE;3;8.8
SGP;3;5.2
SVK;3;23.1
SVN;3;20.1
ZAF;3;8.1
KOR;3;6.2
ESP;3;27.4
LKA;3;0.3
SUR;3;7.4
SWZ;3;1.7
SWE;3;18.8
CHE;3;22.6
TZA;3;3.3
THA;3;1.9
TLS;3;6.3
TGO;3;0.9
TUN;3;1.1
TUR;3;14.1
UGA;3;3.4
UKR;3;13.5
ARE;3;1.2
GBR;3;20.0
USA;3;19.1
URY;3;14.0
UZB;3;1.3
VNM;3;1.0
YEM;3;7.6
ZMB;3;3.1
ZWE;3;1.6
ALB;4;51.2
DZA;4;30.4
AND;4;37.8
ARG;4;27.7
ARM;4;52.1
AUS;4;16.5
AUT;4;30.9
AZE;4;42.5
BHS;4;20.4
BHR;4;37.6
BGD;4;44.7
BRB;4;14.5
BLR;4;46.1
BEL;4;31.4
BEN;4;12.3
BIH;4;47.7
BWA;4;34.4
BRA;4;17.9
BRN;4;30.9
BGR;4;44.4
BFA;4;23.9
KHM;4;33.7
CAN;4;16.6
CPV;4;16.5
CHL;4;41.5
CHN;4;48.4
COL;4;13.5
COM;4;23.6
COG;4;52.3
CRI;4;17.4
HRV;4;39.9
CUB;4;53.3
CYP;4;52.7
CZE;4;38.3
DNK;4;18.8
DOM;4;19.1
ECU;4;12.3
EGY;4;50.1
SLV;4;18.8
ERI;4;11.4
EST;4;39.3
ETH;4;8.5
FJI;4;34.8
FIN;4;22.6
FRA;4;35.6
GMB;4;31.2
GEO;4;55.5
DEU;4;33.1
GHA;4;7.7
GRC;4;52.0
HTI;4;23.1
HUN;4;34.8
ISL;4;15.2
IND;4;20.6
IDN;4;76.1
IRN;4;21.1
IRL;4;25.7
ISR;4;35.4
ITA;4;27.8
JAM;4;28.6
JPN;4;33.7
KAZ;4;43.1
KEN;4;20.4
KWT;4;37.0
KGZ;4;50.5
LAO;4;51.2
LVA;4;51.0
LBN;4;40.7
LSO;4;53.9
LBR;4;18.1
LTU;4;38.0
LUX;4;26.0
MWI;4;24.7
MYS;4;42.4
MDV;4;55.0
MLI;4;23.0
MLT;4;30.2
MUS;4;40.7
MEX;4;21.4
MDA;4;44.6
MNG;4;46.5
MNE;4;47.9
MAR;4;47.1
MOZ;4;29.1
MMR;4;35.2
NAM;4;34.2
NPL;4;37.8
NLD;4;27.3
NZL;4;17.2
NER;4;15.4
NGA;4;10.8
NOR;4;20.7
OMN;4;15.6
PAK;4;36.7
PAN;4;9.9
PNG;4;48.8
PRY;4;21.6
PHL;4;40.8
POL;4;33.1
PRT;4;30.0
QAT;4;26.9
ROU;4;37.1
RUS;4;58.3
RWA;4;21.0
SAU;4;25.4
SEN;4;16.6
SRB;4;40.2
SYC;4;35.7
SLE;4;41.3
SGP;4;28.3
SVK;4;37.7
SVN;4;25.0
ZAF;4;33.2
KOR;4;40.9
ESP;4;31.4
LKA;4;27.0
SUR;4;42.9
SWZ;4;16.5
SWE;4;18.9
CHE;4;28.9
TZA;4;26.7
THA;4;38.8
TLS;4;78.1
TGO;4;14.2
TUN;4;65.8
TUR;4;41.1
UGA;4;16.7
UKR;4;47.4
ARE;4;37.4
GBR;4;24.7
USA;4;24.6
URY;4;19.9
UZB;4;24.7
VNM;4;45.9
YEM;4;29.2
ZMB;4;24.7
ZWE;4;30.7
AFG;5;37.746
DZA;5;83.741
AGO;5;26.664
ARM;5;94.043
AZE;5;83.241
BGD;5;34.808
BRB;5;88.469
BLZ;5;90.083
BEN;5;11.035
BTN;5;79.807
BOL;5;25.383
BIH;5;97.164
BFA;5;11.877
BDI;5;6.144
KHM;5;66.229
CMR;5;2.735
CAF;5;16.603
TCD;5;5.818
COL;5;65.386
COM;5;15.574
COG;5;47.964
CRI;5;83.841
CIV;5;19.351
CUB;5;85.198
COD;5;4.472
DOM;5;55.182
ECU;5;80.635
EGY;5;89.827
SLV;5;90.65
GNQ;5;24.64
ETH;5;7.96
GMB;5;7.876
GHA;5;41.047
GTM;5;76.665
GIN;5;17.45
GNB;5;6.403
GUY;5;77.159
HTI;5;22.863
HND;5;84.169
IND;5;59.55
IDN;5;64.204
IRQ;5;94.576
JAM;5;66.425
KAZ;5;98.999
KEN;5;24.651
KGZ;5;89.22
LAO;5;49.839
LSO;5;2.117
LBR;5;1.188
MDG;5;50.54
MWI;5;8.704
MDV;5;95.803
MLI;5;52.232
MRT;5;15.95
MEX;5;87.847
MDA;5;86.979
MNG;5;71.18
MOZ;5;12.227
MMR;5;79.287
NAM;5;44.6
NPL;5;47.782
NER;5;8.978
NGA;5;41.949
OMN;5;97.4
PAK;5;59.607
PRY;5;79.602
PHL;5;78.463
RWA;5;4.617
LCA;5;87.202
STP;5;41.34
SEN;5;20.859
SRB;5;97.719
SLE;5;19.275
SOM;5;9.831
ZAF;5;43.993
SDN;5;23.437
SUR;5;67.779
SWZ;5;24.097
SYR;5;70.598
TJK;5;72.704
TZA;5;47.953
THA;5;90.67
TLS;5;28.178
TGO;5;10.475
TTO;5;89.443
TUN;5;78.687
UGA;5;21.222
VNM;5;85.847
YEM;5;49.542
ZMB;5;13.938
ZWE;5;36.791
AFG;6;4.5
ALB;6;22.3
DZA;6;26.6
AGO;6;6.8
ATG;6;19.1
ARG;6;28.5
ARM;6;20.9
AUS;6;30.4
AUT;6;21.9
AZE;6;19.9
BHS;6;32.1
BGD;6;3.4
BRB;6;24.8
BLR;6;26.6
BEL;6;24.5
BLZ;6;22.4
BEN;6;8.2
BOL;6;18.7
BIH;6;19.4
BWA;6;16.1
BRA;6;22.3
BGR;6;27.4
BFA;6;4.5
KHM;6;3.5
CMR;6;9.5
CAN;6;31.3
CPV;6;10.6
CAF;6;6.3
TCD;6;4.8
CHL;6;28.8
CHN;6;6.6
COL;6;22.1
COG;6;8.4
CRI;6;25.7
CIV;6;9
HRV;6;27.1
CUB;6;26.7
CYP;6;22.6
CZE;6;28.5
DNK;6;21.3
DMA;6;28.2
DOM;6;26.9
ECU;6;19.3
EGY;6;31.1
SLV;6;22.7
EST;6;23.8
ETH;6;3.6
FJI;6;30
FIN;6;24.9
FRA;6;23.2
GAB;6;13.4
GMB;6;8.7
GEO;6;23.3
DEU;6;25.7
GHA;6;9.7
GRC;6;27.4
GRD;6;20.2
GTM;6;18.8
GIN;6;6.6
GNB;6;8.2
GUY;6;19.2
HTI;6;20.5
HND;6;19.4
HUN;6;28.6
ISL;6;23.1
IND;6;3.8
IDN;6;6.9
IRN;6;25.5
IRQ;6;27.4
IRL;6;26.9
ISR;6;26.7
ITA;6;22.9
JAM;6;24.4
JPN;6;4.4
JEY;6;33.4
JOR;6;33.4
KAZ;6;21.3
KEN;6;6
KWT;6;37
KGZ;6;15.4
LAO;6;4.5
